st_transform,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,strasse_name,strasse_schluessel
"MULTILINESTRING ((12.0758635514567 54.0996514488847,12.076258319357 54.1004466539204))",0ecfdc20-ec14-46c1-b352-f1de93d5ebd4,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Heinz-Kapelle-Straße,"03460"
"MULTILINESTRING ((12.0845515279037 54.1797856139006,12.0845930389664 54.1796385165243,12.0848938076019 54.1786534777318))",009f4f38-96a3-4474-9c17-a546d891b8ff,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Katergang,"12480"
"MULTILINESTRING ((12.1673661670836 54.0987085169812,12.1676003614182 54.0989783440409,12.1685639314852 54.0999851081016,12.1693012761195 54.1007588648206))",fecaa3c9-f1d4-403e-9f12-61516c4c292d,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Ganterweg,"02710"
"MULTILINESTRING ((12.0842927181837 54.1735482848986,12.0855771941811 54.1737720690713))",5c5d5439-57cd-44c6-8838-705099ed5417,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Trojanstraße,"09030"
"MULTILINESTRING ((12.0865029081532 54.1789190677508,12.0873440842455 54.178949814704))",bf67f87b-fb48-4682-91ad-1f68e7676afe,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Querstraße V,"07820"
"MULTILINESTRING ((12.0536502302008 54.155007799007,12.0535409502261 54.1544210099063))",2b97b1e3-452a-40e2-9a8e-ef986beff630,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Goldberger Weg,"10950"
"MULTILINESTRING ((12.1974834579134 54.0903965386245,12.193744410629 54.090428582117))",5400b94b-c6c6-49d2-b2e0-285b03a58c25,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Murerstrat,"11630"
"MULTILINESTRING ((12.0791491647972 54.102803568692,12.0796447375077 54.1034224273806))",aeb04847-5426-4f99-9580-582dd8ba710c,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kamellenweg,"04270"
"MULTILINESTRING ((12.0477553560305 54.1245542934038,12.048191142573 54.1238863692058))",a9642daa-181b-416e-8079-a782db3b3d73,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Jurek-Becker-Straße,"13700"
"MULTILINESTRING ((12.0874497790601 54.1136968115963,12.0876883529763 54.1137843228518,12.0877924288123 54.1138296167001,12.0878985187793 54.1138872172141,12.0879570327797 54.113935149587,12.0879924388704 54.1139744740895,12.0880715872161 54.114090221324))",9f72c670-4eb8-40e0-8286-214d17b416dd,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kaistraße II,"88090"
