,ort,plz,vorwahl
596,Bad Muskau - Mužakow,2953,Error
597,Bad Nauheim,61231,06032
598,Bad Nenndorf,31542,05723
599,Bad Neualbenreuth,95698,Error
600,Bad Neuenahr-Ahrweiler,53474,02641
601,Bad Neustadt an der Saale,97616,09771
602,Bad Oeynhausen,32545,05731
603,Bad Oeynhausen,32547,05731
604,Bad Oeynhausen,32549,05731
605,Bad Oldesloe,23843,04531
606,Bad Orb,63619,06052
607,Bad Peterstal-Griesbach,72250,07441
608,Bad Peterstal-Griesbach,77740,07806
609,Bad Pyrmont,31812,05281
610,Bad Rappenau,74906,07264
611,Bad Reichenhall,83435,08651
612,Bad Rippoldsau-Schapbach,77776,07440
613,Bad Rodach,96476,09564
614,Bad Rothenfelde,49214,05424
615,Bad Saarow,15526,033631
616,Bad Sachsa,37441,05523
617,Bad Säckingen,79713,07761
618,Bad Salzdetfurth,31162,05063
619,Bad Salzschlirf,36364,06648
620,Bad Salzuflen,32105,05222
621,Bad Salzuflen,32107,05222
622,Bad Salzuflen,32108,05222
623,Bad Salzungen,36433,03695
624,Bad Salzungen,36469,03695
625,Bad Sassendorf,59505,02945
626,Bad Saulgau,88348,07583
627,Bad Schandau,1814,0381
628,Bad Schmiedeberg,6905,Error
629,Bad Schönborn,76669,07253
630,Bad Schussenried,88427,07583
631,Bad Schwalbach,65307,06124
632,Bad Schwartau,23611,0451
633,Bad Segeberg,23795,04551
634,Bad Sobernheim,55566,06751
635,Bad Soden am Taunus,65812,06196
636,Bad Soden-Salmünster,63628,06056
637,Bad Sooden-Allendorf,37242,05652
638,Bad Staffelstein,96231,09573
639,Bad Steben,95138,09288
640,Bad Sulza,99518,036461
641,Bad Sülze,18334,038229
642,Bad Tabarz,99891,036259
643,Bad Teinach-Zavelstein,75385,07051
644,Bad Tennstedt,99955,036041
645,Bad Tölz,83646,08041
646,Bad Überkingen,73337,07334
647,Bad Urach,72574,07125
648,Bad Vilbel,61118,06101
649,Bad Waldsee,88339,07524
650,Bad Wiessee,83707,08022
651,Bad Wildbad,75323,07055
652,Bad Wildungen,34537,05621
653,Bad Wilsnack,19336,038791
654,Bad Wimpfen,74206,07063
655,Bad Windsheim,91438,09841
656,Bad Wörishofen,86825,08247
657,Bad Wünnenberg,33181,02953
658,Bad Wurzach,88410,07564
659,Bad Zwesten,34596,05626
660,Bad Zwischenahn,26160,04403
661,Baesweiler,52499,02401
662,Bahlingen,79353,07663
663,Bahrdorf,38459,05358
664,Bahrenborstel,27245,04273
665,Bahrenfleth,25569,04824
666,Bahrenhof,23845,04535
667,Bahretal,1819,038205
668,Baienfurt,88255,07502
669,Baierbach,84171,08705
670,Baierbrunn,82065,089
671,Baiern,85625,08093
672,Baiersbronn,72270,07442
673,Baiersdorf,91083,09133
674,Baindt,88255,07502
675,Baisweil,87650,08340
676,Bäk,23909,04541
677,Bakum,49456,05438
678,Bälau,23881,04542
679,Balderschwang,87538,08326
680,Baldringen,54314,06587
681,Balduinstein,65558,06432
682,Balesfeld,54597,06556
683,Balge,31609,05021
684,Balgheim,78582,07424
685,Balgstädt,6632,Error
686,Balingen,72336,07433
687,Balje,21730,04752
688,Ballendorf,89177,07340
689,Ballenstedt,6493,Error
690,Ballhausen,99955,036041
691,Ballrechten-Dottingen,79282,07634
692,Ballstedt,99439,Error
693,Balow,19300,038792
694,Baltmannsweiler,73666,07153
695,Baltrum,26579,04939
696,Balve,58802,02375
697,Balzhausen,86483,08281
698,Balzheim,88481,07347
699,Bamberg,96047,0951
700,Bamberg,96049,0951
701,Bamberg,96050,0951
702,Bamberg,96052,0951
703,Bammental,69245,06223
704,Bandelin,17506,038353
705,Bandenitz,19230,038852
